,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_0,116,11,100.0,80.0,66.66666666666666,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.8621933621933621,2.871825396825397,0.4102232537577365,0.00929535232383808,0.9036050156739811
1,we_list_1,116,11,100.0,80.0,66.66666666666666,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.8574314574314573,2.867063492063492,0.37137349046995455,0.013343328335832084,0.8824451410658306
2,we_list_2,116,11,100.0,80.0,66.66666666666666,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.8594782410571884,2.869110275689223,0.39151193633952236,0.011244377811094454,0.8934169278996864
3,we_list_3,116,11,100.0,80.0,66.66666666666666,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.8558441558441557,2.8654761904761905,0.3498043531425775,0.015592203898050975,0.8706896551724136
4,we_list_4,116,11,100.0,80.0,60.0,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.8492063492063491,2.8578282828282826,0.38727142110762786,0.01184407796101949,0.8902821316614419
5,we_list_5,116,11,100.0,80.0,53.333333333333336,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.8332975986277873,2.8397911051212934,0.34255790337913733,0.01679160419790105,0.8644200626959245
6,we_list_6,116,11,80.0,80.0,53.333333333333336,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.7413625644471747,2.677591394097057,0.3781919089474869,0.0143928035982009,0.8769592476489027
7,we_list_7,116,11,80.0,70.0,53.333333333333336,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.7085886778470512,2.6222443735601626,0.32997393056049273,0.019340329835082458,0.8510971786833854
8,we_list_8,116,11,80.0,70.0,53.333333333333336,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.7118294185877919,2.6254851143009037,0.3702398800599699,0.015142428785607197,0.8730407523510971
9,we_list_9,116,11,80.0,70.0,53.333333333333336,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.7085037305143973,2.622159426227509,0.3285362420830399,0.019490254872563718,0.8503134796238243
10,we_list_10,116,11,80.0,70.0,53.333333333333336,45.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.7073574853877885,2.620318261984928,0.36749514852963117,0.015592203898050975,0.8706896551724138
